,A,B,C,Y,option_a,option_b,option_c,option_d,correct_answer,model_answer
0,0.8999999761581421,3.299999952316284,1.2000000476837158,-1.8333333730697632,-0.34449970722198486,-1.9126777648925781,-1.8333333730697632,-1.0207672119140625,c,b
1,4.300000190734863,2.0999999046325684,-2.299999952316284,-0.24418604373931885,-0.9962246417999268,-0.3893086612224579,0.5920456647872925,-0.24418604373931885,d,d
2,4.5,3.4000000953674316,-3.0999999046325684,-0.3777777850627899,0.3616495132446289,-0.7992160320281982,-0.3777777850627899,-0.47948700189590454,c,c
3,4.900000095367432,1.5,-1.2000000476837158,-0.15306122601032257,1.2121944427490234,-0.15306122601032257,-0.14139308035373688,0.28443729877471924,b,c
4,2.5999999046325684,-4.0,2.700000047683716,0.7692307829856873,0.7692307829856873,1.0075372457504272,1.5558459758758545,0.5351747274398804,a,a
5,4.800000190734863,-1.7999999523162842,-4.099999904632568,0.1875,-0.21720443665981293,0.1875,-0.2967652678489685,0.39593076705932617,b,b
6,4.699999809265137,-4.699999809265137,0.4000000059604645,0.5,0.6242873668670654,-0.8166866898536682,-0.5935844779014587,0.5,d,d
7,3.799999952316284,-3.299999952316284,0.800000011920929,0.43421053886413574,0.03657817840576172,0.33566632866859436,0.8012725114822388,0.43421053886413574,d,d
8,3.5999999046325684,4.599999904632568,-0.30000001192092896,-0.6388888955116272,-0.7005085945129395,-0.6388888955116272,-0.9951713681221008,-0.45598360896110535,b,b
9,2.0999999046325684,0.10000000149011612,-1.7000000476837158,-0.02380952425301075,0.7150563597679138,1.0744507312774658,-0.02380952425301075,-0.2091301828622818,c,c
10,0.10000000149011612,-2.799999952316284,-4.400000095367432,14.0,14.0,14.278793334960938,13.592913627624512,14.526468276977539,a,c
11,2.299999952316284,4.599999904632568,-0.20000000298023224,-1.0,-1.2399296760559082,-1.0,-0.7780689597129822,-0.2793648838996887,b,b
12,1.600000023841858,-4.699999809265137,-2.299999952316284,1.46875,1.8976678848266602,2.7726149559020996,2.4324896335601807,1.46875,d,d
13,4.199999809265137,-2.5999999046325684,4.599999904632568,0.3095238208770752,0.7788864374160767,-0.025556743144989014,0.3095238208770752,0.6090189218521118,c,c
14,1.899999976158142,4.400000095367432,-3.799999952316284,-1.1578947305679321,-1.9921236038208008,-1.0334138870239258,-1.794288158416748,-1.1578947305679321,d,d
15,1.399999976158142,-2.299999952316284,-2.5,0.8214285969734192,1.223691463470459,0.49569448828697205,0.8214285969734192,1.7151912450790405,c,c
