										Geophysical Parameters	Crater Information	
Location												
Name	Date (GMT)	Time (GMT)*	Yield (kt)	Depth of Burial (m)	Latitude	Longitude	Surface Elevation (m)	Medium†	Water Level Depth (m)	Water Content (wt. %)	Density (g/cm3)	Gas Porosity (vol. %)	Velocity (m/sec)	Diameter (m)	Depth (m)	Volume (m3)	Collapse Time (h:m:s)	Test Area/Remarks‡
ARSENATE	11/09/72	18:15:00.16	<20	250	37.121	-116.033	1,268	T	561	10	1.6	24	1,859				0:15:00	Yucca
CANNA LIMOGES	11/17/72	18:00:00.16	<20	213	37.140	-116.033	1,273	T	555	14	1.7	13	1,219				0:12:30	Yucca
CANNA UMBRINUS	11/17/72	18:00:00.16	<20	183	37.140	-116.033	1,273	T	555	16	1.7	15	1,219				0:12:30	Yucca
TUIOSO	12/12/72	16:30:00.04	<20	271	37.031	-116.022	1,189	A	482	9.2	1.75	22	1,585				0:16:00	Yucca
SOLANUM	12/14/72	15:30:00.16	<20	201	37.138	-116.036	1,267	T	547	15	1.5	23	1,189				0:00:12	Yucca
FLAX BACKUP	12/21/72	20:15:00.24	<20	445	37.140	-116.084	1,296	T	577					178	28		3:37:00	Yucca
FLAX SOURCE	12/21/72	20:15:00.24	<20	688	37.140	-116.084	1,296	T	577					178	28		3:37:00	Yucca
FLAX TEST	12/21/72	20:15:00.24	20-200	436	37.140	-116.084	1,296	T	577	12.3	1.85	8	2,042	178	28		3:37:00	Yucca
ALUMROOT	02/14/73	15:30:00.16	20	183	37.147	-116.051	1,264	A	564	13	1.9	8	1,524					Yucca
MIERA	03/08/73	16:10:00.19	20-200	569	37.104	-116.028	1,279	T	553	17.1	1.82	7.5	2,697	340	12	376,200	0:41:06	Yucca
GAZOOK	03/23/73	20:15:00.17	<20	326	37.117	-116.088	1,274	A	564	11.6	2	9	2,347					Yucca
NALOMA	04/05/73	14:50:00.16	<20	244	37.178	-116.055	1,283	A	572	7.9	2.2	3	2,134					Yucca
ANGUS	04/25/73	22:25:00.03	<20	453	37.005	-116.029	1,180	A	472	14.3	1.66	19.3	1,814				1:19:42	Yucca
VELARDE	04/25/73	22:25:00.07	<20	277	36.994	-116.022	1,176	A	466	15.3	1.63	21	1,463	138	27		1:57:42	Yucca
COLMOR	04/26/73	15:15:00.04	<20	246	37.012	-116.021	1,182	A	472	8.6	1.74	22	1,539	70	3	3,800	0:21:30	Yucca
STARWORT	04/26/73	17:15:00.17	90	564	37.123	-116.059	1,261	T	525	19	1.86	4	2,469	351	38		3:49:00	Yucca
MESITA	05/09/73	13:30:00.04	<20	149	37.006	-116.017	1,180	A	475	10.2	1.62	26	1,481					Yucca
RIO BLANCO 1	05/17/73	16:00:00.12	33	1,780	39.793	-108.368	2,005	Sn	14	1.7	2.5		4,176					PLOWSHARE gas-stimulation expt, Piceance Basin, CO
RIO BLANCO 2	05/17/73	16:00:00.12	33	1,899	39.793	-108.367	2,005	Sn	14	2.1	2.5		4,298					
RIO BLANCO 3	05/17/73	16:00:00.12	33	2,039	39.793	-108.368	2,005	Sn	14	1.3	2.4		4,420					
CABRESLO	05/24/73	13:30:00.04	<20	198	37.078	-116.032	1,228	A	518	6.7	1.66	9	1,567					Yucca
KASHAN	05/24/73	13:30:00.16	<20	265	37.162	-116.057	1,277	A	562	10.9	2	28	1,981	143	7		0:16:00	Yucca
DIDO QUEEN	06/05/73	17:00:00.17	<20	391	37.185	-116.216	2,247	T	1,001	15	1.91		2,490					Tunnel, Rainier Mesa
ALMENDRO	06/06/73	13:00:00.08	200-1000	1,064	37.245	-116.347	2,069	T/R	686	12	2.19	0	4,298					Pahute Mesa
POTNILLO	06/21/73	14:45:00.08	20-200	567	37.092	-116.028	1,255	T	544	18.2	1.95	1	2,682	332	13	380,000	1:25:00	Yucca
PORTULACA	06/28/73	19:15:12.40	20-200	466	37.148	-116.087	1,311	A	591	15.7	1.9	10	1,951	184	35		15:05:00	Yucca
SILENE	06/28/73	19:45:00.16	<20	198	37.115	-116.042	1,254	A	552	11	1.7	21	1,524					Yucca
POLYGONUM	10/02/73	14:30:00.17	<20	213	37.159	-116.074	1,304	A	533	10	2	9	1,920					Yucca
WALLER	10/02/73	15:15:00.16	<20	311	37.154	-116.069	1,294	A	586	13	1.9	9	2,012					Yucca
HUSKY ACE	10/12/73	17:00:00.08	<20	413	37.200	-116.204	2,238	T	839	19.4	1.9		2,801					Tunnel, Rainier Mesa
BERNAL	11/28/73	15:30:00.08	<20	283	37.011	-116.025	1,183	A	457	11.4	1.77	18	1,454	150	22	129,200	0:22:00	Yucca
PAJARA	12/12/73	19:00:00.10	<20	278	36.991	-116.025	1,175	A	471	15	1.62	22	1,341	137	38	185,800	3:14:06	Yucca
SEAFOAM	12/13/73	15:17:00.17	<20	198	37.161	-116.074	1,306	A	600	9	2.1	5	1,966					Yucca
SPAR	12/19/73	17:30:00.04	<20	149	37.006	-116.020	1,180	A	475	10.2	1.62	16	1,481					Yucca
ELIDA	12/19/73	19:16:00.11	<20	381	37.001	-116.032	1,178	A	469	13	1.76	26	1,646				0:26:00	Yucca
PINEDROPS BAYOU	01/10/74	15:38:00.17	<20	213	37.174	-116.052	1,283	A	573	7.5	1.8	19	1,737					Yucca
PINEDROPS SLOAT	01/10/74	15:38:00.17	<20	343	37.174	-116.052	1,283	T	573	13	1.8	4	1,737					Yucca
PINEDROPS TAWNY	01/10/74	15:38:00.17	<20	282	37.174	-116.052	1,283	A	573	15.3	1.8	9	1,737					Yucca
LATIR	02/27/74	17:00:00.09	20-200	641	37.104	-116.054	1,243	T	503	15.4	1.93	3.3	2,225	267	24	450,300	9:55:00	Yucca
HULSEA	03/14/74	17:00:00.17	<20	195	37.155	-116.065	1,289	A	582	12	1.8	15	1,829					Yucca
SAPELLO	04/12/74	15:15:00.08	<20	181	37.015	-116.045	1,189	A	472	11.4	1.9	12	1,494					Yucca
POTRERO	04/23/74	15:13:00.16	<20	210	37.160	-116.077	1,310	A	541	9	2	12	1,911	10	3		0:24:00	Yucca
PLOMO	05/01/74	14:02:00.21	<20	149	37.031	-115.986	1,227	T	503	12.5	1.43	26	1,634					Yucca
JIB	05/08/74	16:55:00.09	<20	180	37.001	-116.002	1,177	T	463	8.5	1.48	31	1,497					Yucca
GROVE	05/22/74	14:15:00.17	<20	314	37.115	-116.076	1,264	T	571			6	1,829	59	8		0:20:00	Yucca
FALLON	05/23/74	13:38:30.16	20-200	466	37.124	-116.080	1,276	A	558	11	2	9	1,890	191	29		4:46:00	Yucca
JARA	06/06/74	14:40:00.08	<20	378	37.004	-116.024	1,180	A	457	12.6	1.7	22	1,615	159	12	76,500	2:00:00	Yucca
MING BLADE	06/19/74	16:00:00.08	<20	388	37.210	-116.208	2,212	T	909	18	1.91		2,771					Tunnel, Rainier Mesa
ESCABOSA	07/10/74	16:00:00.09	20-200	639	37.075	-116.033	1,223	T	545	19.8	1.84	2.7	2,405	351	23	567,300	5:09:42	Yucca
CRESTLAKE BRIAR	07/18/74	14:00:01.20	<20	374	37.119	-116.086	1,274	A	561	8	2.2	7	2,225	52	9		0:56:00	Yucca
CRESTLAKE TANSAN	07/18/74	14:00:01.20	<20	272	37.119	-116.086	1,274	A	561	12	2.2	6	1,951	52	9		0:56:00	Yucca
PUYE	08/14/74	14:00:00.11	<20	430	37.023	-116.037	1,188	A	483	11.4	1.73	20	2,063	139	4	20,600	1:54:00	Yucca
PORTMANTEAU	08/30/74	15:00:00.16	20-200	655	37.152	-116.0.84	1,313	T	585	22	1.8	5	2,499	267	30		0:50:12	Yucca
PRATT	09/25/74	14:00:00.08	<20	314	37.012	-116.031	1,183	A	477	14	1.9	11	1,576	176	16	130,700	1:02:36	Yucca
TRUMBULL	09/26/74	14:30:00.16	<20	263	37.093	-116.096	1,269	A	541	15	1.8	11	2,175					Yucca
STANYAN	09/26/74	15:05:00.17	20-200	573	37.133	-116.069	1,275	T	553	13	2.1	1	2,286	282	21		0:49:42	Yucca
ESTACA	10/17/74	17:13:00.12	<20	320	37.006	-116.016	1,180	T	468	13.9	1.8	12	2,012					Yucca
HYBLA FAIR	10/28/74	15:00:00.17	<20	404	37.201	-116.205	2,227	T	874	16	2.03		2,525					Tunnel, Rainier Mesa
TEMESCAL	11/02/74	15:30:00.16	<20	263	37.093	-116.093	1,263	A	541	13	1.8	14	1,975					Yucca
PUDDLE	11/26/74	15:00:00.90	<20	184	37.001	-116.012	1,169	A	466	14.3	1.74	15	1,219					Yucca
KEEL	12/16/74	17:30:00.09	<20	305	37.011	-116.018	1,182	A	472	9.5	1.7	23	1826	157	20	126,200	0:21:42	Yucca
PORTOLA LARKIN	02/06/75	15:30:00.16	<20	274	37.178	-116.052	1,285	A	576	10.8	2	10	2,200					Yucca
PORTOLA	02/06/75	15:30:00.17	<20	198	37.178	-116.052	1,285	A	576	6.4	2.2	10	2,350					Yucca
TELEME	02/06/75	16:13:00.17	<20	305	37.114	-116.022	1,300	T	564	17	1.8	12	2,300	175	13		0:18:18	Yucca
BILGE	02/19/75	20:10:00.22	<20	318	37.002	-116.025	1,179	A	469	12.8	1.72	18	1,720				0:46:12	Yucca
TOPGALLANT	02/28/75	16:15:00.00	20-200	713	37.106	-116.057	1,245	T	515	22.5	1.9	0	2,588	298	20	461,000	10:05:30	Yucca
CABRILLO	03/07/75	16:00:00.17	20-200	600	37.134	-116.085	1,288	A	567	22	1.9	1	2,200	198	14		1:55:48	Yucca
DINING CAR	04/05/75	19:45:00.19	<20	383	37.188	-116.215	2,238	T	983	19	1.92		2,563					Tunnel, Rainier Mesa
EDAM	04/24/75	14:10:00.17	20-200	412	37.116	-116.088	1,272	T	570	15.7	1.6	19	2,260	192	17		2:10:00	Yucca
OBAR	04/30/75	15:00:00.90	20-200	569	37.109	-116.030	1,279	T	521	17.4	1.96		2,549					Yucca
TYBO	05/14/75	14:00:00.16	200-1000	765	37.221	-116.475	1,880	T	630	14	2.1	0	3,625	200	14		4:12:00	Pahute Mesa
STILTON	06/03/75	14:20:00.17	20-200	732	37.340	-116.524	1,667	R	280	8	2.32	0	2,615					Pahute Mesa
MIZZEN	06/03/75	14:40:00.11	20-200	637	37.095	-116.037	1,247	T	515	23.3	1.93	0	2,469	254	33	550,500	0:30:00	Yucca
ALVISO	06/11/75	13:00:00.17	<20	183	37.112	-116.075	1,261	A	575	7.5	2	15	2,070					Yucca
FUTLOCK	06/18/75	11:49:00.09	<20	186	37.066	-116.023	1,221	A	512	10.2	1.61	26	1,328					Yucca
MAST	06/19/75	13:00:00.09	200-1000	911	37.350	-116.321	2,068	R	666	4	2.45	0	4,200					Pahute Mesa
CAMEMBERT	06/26/75	12:30:00.16	200-1000	1,311	37.279	-116.369	2,033	T	668	11	2.24	0	3,350					Pahute Mesa
MARSH	09/06/75	17:00:00.11	<20	427	37.024	-116.029	1,187	A	480	13.6	1.89	10	1,976	217	10	124,000	1:21:42	Yucca
HUSKY PUP	10/24/75	17:11:26.09	<20	328	37.222	-116.181	2,036	T	748	22	1.82		2,575					Tunnel, Rainier Mesa
KASSERI	10/28/75	14:30:00.16	200-1000	1,265	37.290	-116.412	1,957	T	628	12	2.17	0	3,110					Pahute Mesa
DECK	11/18/75	15:30:00.11	<20	326	37.020	-116.022	1,185	A	460	11	1.67	23	1,946	183	16	137,900	0:52:42	Yucca
INLET	11/20/75	15:00:00.09	200-1000	818	37.225	-116.368	2,025	R	703	6.4	2.29	0	3,720					Pahute Mesa
LEYDEN	11/26/75	15:30:00.16	<20	326	37.117	-116.020	1,303	T	613	15.2	1.85	11	2,210	180	6		1:05:40	Yucca
CHIBERTA	12/20/75	20:00:00.16	20-200	716	37.128	-116.062	1,264	T	536	24.2	1.85	0	2,560	344	35		0:51:24	Yucca
MUENSTER	01/03/76	19:15:00.16	200-1000	1,452	37.297	-116.334	2,082	T	676	10	2.28	0	3,770					Pahute Mesa
KEELSON	02/04/76	14:20:00.11	20-200	640	37.069	-116.031	1,218	T	498	18.8	1.9	1.3	2,660	360	11		5:49:18	Yucca
ESROM	02/04/76	14:40:00.16	20-200	655	37.107	-116.038	1,258	T	523	23.1	1.84	2	2,750	218	52	95,700	2d14h48m	Yucca
FONTINA	02/12/76	14:45:00.16	200-1000	1,219	37.271	-116.489	1,837	T	595	10.5	2.19	0	3,310	254	6		2d13h5m	Pahute Mesa
CHESHIRE	02/14/76	11:30:00.16	200-500	1,167	37.243	-116.421	1,947	R	625	7	2.36	0	3,780					Pahute Mesa
SHALLOWS	02/26/76	14:50:00.09	<20	244	37.028	-116.017	1,188	A	475	9.1	1.75	20	1,524	138	11	55,900	0:18:18	Yucca
ESTUARY	03/09/76	14:00:00.09	200-500	857	37.310	-116.365	2,025	R	627	11.7	2.14	0	3,295	200	13	136,200	2:55:06	Pahute Mesa
COLBY	03/14/76	12:30:00.16	500-1000	1,273	37.306	-116.472	1,904	T	571	21.6	1.91	0	2,840	256	14		2:55:06	Pahute Mesa
POOL	03/17/76	14:15:00.09	200-500	879	37.256	-116.329	2,076	T	690	10.9	2.18	0	3,470				1d18h2m	Pahute Mesa; subsurface collapse
STRAIT	03/17/76	14:45:00.09	200-500	780	37.107	-116.053	1,243	T	506	22.3	1.93	0	2,809	210	41	473,700	0:46:44	Yucca
MIGHTY EPIC	05/12/76	19:50:00.17	<20	398	37.209	-116.213	2,224	T	918	16	1.92	2.2	2,410					Tunnel, Rainier Mesa
RIVOLI	05/20/76	17:30:00.16	<20	200	37.137	-116.067	1,279	A	560	7	2.05	13	1,825				0:02:30	Yucca
BILLET	07/27/76	20:30:00.08	20-150	636	37.075	-116.045	1,222	T	503	23.7	1.84	0	2,681				6d15h29m	Yucca
BANON	08/26/76	14:30:00.17	20-150	536	37.125	-116.083	1,275	A	548	14.7	1.88	9.6	2,204	246	26		1:57:00	Yucca
GOUDA	10/06/76	14:30:00.16	<20	200	37.135	-116.063	1,272	A	561	9.7	1.98	11.7	1,725				0:06:42	Yucca
SPRIT	11/10/76	14:58:00.08	<20	183	37.036	-116.018	1,192	A	465	12.7	1.6	24	1,555				0:30:00	Yucca
CHEVRE	11/23/76	15:15:00.16	<20	317	37.172	-116.054	1,278	A	568	14.8	1.65	20	1,433	72	3		0:56:00	Yucca
REDMUD	12/08/76	14:49:30.08	<20	427	37.079	-116.002	1,269	T	550	18.4	1.75	8	2,169	83	2		0:20:18	Yucca
ASIAGO	12/21/76	15:09:00.17	<20	331	37.124	-116.068	1,265	A	544	11.7	1.87	13.5	1,800	134	13		5:54:00	Yucca
SUTTER	12/21/76	15:58:00.16	<20	200	37.152	-116.064	1,287	A	561	14.8	1.89	7.1	1,895				0:24:30	Yucca
RUDDER	12/28/76	18:00:00.08	20-150	639	37.100	-116.037	1,255	T	520	21.2	1.9		2,722	362	14		2:29:30	Yucca
OARLOCK	02/16/77	17:53:00.07	<20	318	37.013	-116.029	1,183	A	460	11	1.65	24	1,750	164	20		0:53:30	Yucca
COVE	02/16/77	17:53:00.16	<20	335	37.007	-116.032	1,181	A	472	11.1	1.64	24	1,670	131	10		2:54:24	Yucca
DOLINO	03/08/77	14:24:00.16	<20	183	37.176	-116.054	1,283	A	550	6.7	2.10	11.8	2,002					Yucca
DOLINO LAWTON	03/08/77	14:24:00.16	<20	282	37.176	-116.054	1,283	A	550	13.8	1.84	12.8	2,284					Yucca
MARSILLY	04/05/77	15:00:00.17	20-150	690	37.120	-116.063	1,259	T	541	21.4	1.98	-2	2,235	334	28		1:57:00	Yucca
BULKHEAD	04/27/77	15:00:00.08	20-150	594	37.095	-116.029	1,259	T	532	21.5	1.89	0	2,364	271	6		1:05:18	Yucca
CREWLINE	05/25/77	17:00:00.08	20-150	564	37.094	-116.046	1,237	T	503	19.7	1.97	0	2,730				10d15m	Yucca
FOREFOOT	06/02/77	17:15:00.10	<20	194	37.055	-116.026	1,207	A	494	13.8	1.68	18	1,686					Yucca
CAMELIAN	07/28/77	14:07:00.16	<20	208	37.098	-116.092	1,265	A	535	15.1	1.8	12.8	1,752	65	11		0:19:00	Yucca
STRAKE	08/04/77	16:40:00.07	20-150	518	37.087	-116.008	1,273	T	541	21.4	1.74	6	2,430	219	12		0:30:00	Yucca
GRUYERE	08/16/77	14:41:00.16	<20	207	37.145	-116.050	1,263	A	531	12.5	1.56	27	1,407				0:05:35	Yucca
GRUYERE GRADINO	08/16/77	14:41:00.16	<20	320	37.145	-116.050	1,263	A	531	12.6	1.5	29	1,310				0:05:35	Yucca
FLOTOST	08/16/77	15:49:00.17	<20	275	37.147	-116.064	1,284	A	557	11.5	1.94	10.4	1,962	34	12		42d	Yucca
SCUPPER	08/19/77	17:32:00.10	<20	450	37.018	-116.032	1,185	A	480	13	1.76	16	2,012					Yucca
SCANTLING	08/19/77	17:55:00.08	20-150	701	37.110	-116.055	1,246	T	511	24.2	1.86	0	2,600	276	29		2:11:30	Yucca
EBBLIDE	09/15/77	14:36:30.08	<20	379	37.033	-116.044	1,194	A	488	11.5	1.91	14	2,117	127	11		2:40:24	Yucca
COULOMMIERS	09/27/77	14:00:00.16	20-150	530	37.151	-116.068	1,292	T	580	17.1	1.54	21	1,981	233	28		2:48:00	Yucca
BOBSTAY	10/26/77	14:15:00.08	<20	381	37.008	-116.018	1,180	T	469	11.8	1.7	20	1,972	186	13		1:34:30	Yucca
HYBLA GOLD	11/01/77	18:06:00.07	<20	385	37.188	-116.214	2,239	T	985	20.6	1.88	0.8	2,046					Tunnel, Rainier Mesa
SANDREEF	11/09/77	22:00:00.08	20-150	701	37.072	-116.051	1,221	T	503	24.3	1.88	0	2,680	230	14		5:22:48	Yucca
SEAMOUNT	11/17/77	19:30:00.08	<20	370	37.021	-116.026	1,186	A	479	12	1.73	19	1,700	211	17		1:09:24	Yucca
RIB	12/14/77	15:00:00.07	<20	213	37.018	-116.019	1,184	A	472	11.4	1.66	23	1,501	91	6		0:09:48	Yucca
FARALIONES	12/14/77	15:30:00.17	20-150	668	37.136	-116.087	1,290	A	554	21.9	1.9	0	2,486	305	26		0:10:36	Yucca
CAMPOS	02/13/78	21:53:00.16	<20	320	37.126	-116.033	1,269	T	558	17.1	1.54	20.6	1,694	71	2		0:45:00	Yucca
REBLOCHON	02/23/78	17:00:00.16	20-150	658	37.124	-116.065	1,261	T	540	18.8	1.96	0	2,708	343	28		7:09:00	Yucca
KARAB	03/16/78	15:00:00.07	<20	331	37.085	-116.082	1,247	T	535	14.4	1.65	19	1,880	121	8		0:53:00	Yucca
TOPMAST	03/23/78	16:30:00.11	<20	457	37.099	-116.020	1,282	T	553	20.5	1.86	1	2,307					Yucca
ICEBERG	03/23/78	16:30:00.20	20-150	640	37.102	-116.052	1,239	T	507	17.6	1.95	1	2,535	277	24		2d2h23m	Yucca
FONDUTTA	04/11/78	15:30:00.16	20-150	633	37.300	-116.328	2,072	T	668	5.4	2.3	3.4	2,719				3:55:00	Pahute Mesa
BACKBEACH	04/11/78	17:45:00.07	20-200	672	37.233	-116.369	2,040	R	715	11.9	2.06	1	3,507				9:57:00	Pahute Mesa
ASCO	04/25/78	14:35:00.16	<20	183	37.155	-116.036	1,285	T	553	14.4	1.68	16.2	1,454					Yucca
TRANSOM	05/10/78	15:00:00.07	0	640	37.088	-116.053	1,231	T	507	18.4	1.9	3	2,688					Yucca
JACKPOTS	06/01/78	17:00:00.08	<20	304	37.021	-116.033	1,186	A	482	10.9	1.71	21	1,714				1:18:18	Yucca
SATZ	07/07/78	14:00:00.17	<20	315	37.112	-116.078	1,263	T	536	12.6	1.87	11.5	2,436	69	9		0:37:00	Yucca
LOWBALL	07/12/78	17:00:00.08	20-150	564	37.079	-116.045	1,225	T	501	22.7	1.91	0	2,649	274	23		2d13h1m	Yucca
PANIR	08/31/78	14:00:00.16	20-150	681	37.276	-116.358	2,013	R	645	9.8	2.13	0	3,424					Pahute Mesa
DIABLO HAWK	09/13/78	15:15:00.16	<20	388	37.209	-116.212	2,212	T	963	19.6	1.87	1.8	2,362					Tunnel, Rainier Mesa
CREMINO	09/27/78	16:30:00.17	<20	210	37.171	-116.088	1,341	A	569	9.5	2	11.6	1,587				0:29:42	Yucca
CREMINO CAERPHILLY	09/27/78	16:30:00.17	<20	420	37.171	-116.088	1,341	T	569	14.1	1.73	16.3	2,096				0:29:42	Yucca
DRAUGHTS	09/27/78	17:00:00.07	20-150	442	37.074	-116.021	1,234	T	512	17.1	1.86	6	2,273	289	19		0:23:30	Yucca
RUMMY	09/27/78	17:20:00.08	20-150	640	37.080	-116.052	1,226	T	504	19.6	1.96	0	2,520	391	16		1:50:42	Yucca
EMMENTHAL	11/02/78	15:25:00.17	<20	576	37.288	-116.298	2,104	R	680	4.3	2.36	6.5	2,210				4:40:00	Pahute Mesa
QUARGEL	11/18/78	19:00:00.17	20-150	542	37.127	-116.085	1,275	T	539	23.1	1.78	4.5	2,455	240	26		1:25:00	Yucca
CONCENTRATION	12/01/78	17:07:30.07	<20	247	37.030	-116.025	1,189	A	480	11.2	1.7	21	1,539	101	5	100	0:23:54	Yucca
FARM	12/16/78	15:30:00.16	20-150	689	37.273	-116.411	1,979	T	649	10.3	2.17	2.5	3,582					Pahute Mesa
BACCARAT	01/24/79	18:00:00.10	<20	326	37.105	-116.013	1,311	T	573	17.6	1.81	7	2,085	96	3		0:17.00	Yucca
QUINELLA	02/08/79	20:00:00.09	20-150	579	37.102	-116.056	1,241	T	512	19.8	1.9	0.4	2,421	300	30		4:24:06	Yucca
KLOSTER	02/15/79	18:05:00.16	20-150	536	37.152	-116.073	1,297	T	582	9.7	1.77	18.2	2,518	225	16		1:06:00	Yucca
MEMORY	03/14/79	18:30:00.10	<20	365	37.028	-116.041	1,190	A	488	11.6	1.9	13	1,825	244	11		2:34:00	Yucca
FREEZEOUT	05/11/79	16:00:00.10	<20	335	36.998	-116.019	1,177	A	471	14.3	1.6	22	1,548	189	13		1:26:24	Yucca
PEPATO	06/11/79	14:00:00.17	20-150	681	37.290	-116.456	1,913	T	579	19.3	1.86	2.3	2,877					Pahute Mesa
CHESS	06/20/79	15:00:13.54	<20	335	37.108	-116.016	1,309	T	573	19.7	1.72	10	2,206				4:26:00	Yucca
FAJY	06/28/79	14:44:00.17	20-150	536	37.143	-116.088	1,303	A	579	16.5	1.82	9.8	2,221	255	39		16:09:00	Yucca
BURZET	08/03/79	15:07:30.16	20-150	450	37.084	-116.071	1,235	A	510	16	1.77	12.6	1,725	172	12		1:58:00	Yucca
OFFSHORE	08/08/79	15:00:00.11	20-150	396	37.015	-116.009	1,182	T	467	18.3	1.7	11	2,532	210	20		0:31:30	Yucca
NESSEL	08/29/79	15:08:00.17	20-150	464	37.121	-116.067	1,260	A	541	12.7	1.93	10.5	2,040	225	29		2:00:00	Yucca
HEARTS	09/06/79	15:00:00.09	140	640	37.088	-116.054	1,232	T	507	18.4	1.94	1	2,688	333	33		2:11:42	Yucca
PERA	09/08/79	17:02:00.09	<20	200	37.155	-116.039	1,280	T	553	13.6	1.65	19	1,627	79	5		0:12:00	Yucca
SHEEPSHEAD	09/26/79	15:00:00.09	20-150	640	37.229	-116.365	2,033	T	709	3.7	2.34	1	2,566				5:14:24	Yucca
BACKGAMMON	11/29/79	15:00:00.10	<20	229	36.994	-116.025	1,175	A	471	16.2	1.65	18	1,324	113	9		1:37:06	Yucca
AZUL	12/14/79	18:00:00.09	<20	205	37.137	-116.064	1,275	A	561	11.6	1.78	17.2	1,672				0:05:30	Yucca
TARKO	02/28/80	15:00:00.09	<20	369	37.127	-116.089	1,280	A	564	12.4	1.92	11.6	2,270	92	14		4:00:00	Yucca
NORBO	03/08/80	15:35:00.09	<20	271	37.180	-116.084	1,349	T	553	14.5	1.69	18.5	1,962	19	6		1y43d	Yucca
LIPTAUER	04/03/80	14:00:00.09	20-150	417	37.150	-116.083	1,304	A	581	13.5	1.92	10.6	1,757	203	21		15:25:00	Yucca
PYRAMID	04/16/80	20:00:00.09	20-150	579	37.101	-116.031	1,266	T	540	22	1.94	0	2,666	337	19		4:20:24	Yucca
COLWICK	04/26/80	17:00:00.08	20-150	633	37.248	-116.423	1,946	R	630	22.5	1.87	0	2,530					Pahute Mesa
CANFIELD	05/02/80	18:46:30.09	<20	351	37.056	-116.020	1,211	T	497	11.6	1.7	20	1,757	222	11		1:41:54	Yucca
FLORA	05/22/80	13:00:00.09	<20	335	37.003	-116.032	1,179	A	473	12.3	1.88	13	1,704				2:19:12	Yucca
KASH	06/12/80	17:15:00.09	20-150	645	37.282	-116.455	1,911	R	602	21.6	1.87	0	2,686	127	8		0:54:00	Pahute Mesa
HURON KING	06/24/80	15:10:00.07	<20	320	37.023	-116.035	1,187	A	483	11.8	1.89	13	1,830	144	27		0:50:36	Yucca
TAFI	07/25/80	19:05:00.08	20-150	680	37.256	-116.478	1,859	T	607	15.2	2.02	1.7	3,068	114	8		4:33:00	Pahute Mesa
VERDELLO	07/31/80	18:19:00.09	<20	366	37.013	-116.024	1,183	A	500	14.1	1.59	23	1,646	184	13		1:07:12	Yucca
BONARDA	09/25/80	14:45:00.09	20-150	381	37.056	-116.049	1,209	T	500	15.8	1.73	21	2,048	68	11		1:21:42	Yucca
RIOLA	09/25/80	15:26:30.08	1.07	424	37.116	-116.065	1,254	A	517	13.6	2.03	4.5	2,358					Yucca
DUTCHESS	10/24/80	19:15:00.12	<20	427	37.075	-116.000	1,265	T	532	21	1.7	11	2,038					Yucca
MINERS IRON	10/31/80	18:00:00.09	<20	390	37.211	-116.206	2,212	T	975	17.8	1.91	1.5	2,960					Tunnel, Rainier Mesa
DAUPHIN	11/14/80	16:50:00.08	<20	320	37.111	-116.020	1,306	T	580	16	1.65	17	2,010	144	13		0:27:30	Yucca
SERPA	12/17/80	15:10:00.09	20-150	573	37.325	-116.316	2,028	T	627	18	1.76	10	2,000					Pahute Mesa
BASEBALL	01/15/81	20:25:00.09	20-150	564	37.087	-116.046	1,232	T	512	20.7	1.98	0	2,830	216	18		6:23:54	Yucca
CLAIRETTE	02/05/81	18:00:00.12	<20	354	37.011	-116.033	1,182	A	474	14.4	1.79	14	1,797				1:04:48	Yucca
SECO	02/25/81	15:00:00.08	<20	200	37.182	-116.085	1,356	T	553	11.7	1.6	23	1,831					Yucca
VIDE	04/30/81	14:35:00.08	<20	323	37.177	-116.086	1,346	T	553	15	1.72	17	2,120					Yucca
ALIGOTE	05/29/81	16:00:00.09	<20	320	37.102	-116.005	1,311	T	605	17.3	1.8	8	2,020				0:14:24	Yucca
HARZER	06/06/81	18:00:00.08	20-150	637	37.303	-116.326	2,073	T	668	9.5	2.15	3	3,674					Pahute Mesa
NIZA	07/10/81	14:00:00.10	<20	341	37.129	-116.035	1,266	T	555	19	1.66	15.2	1,970	111	6		1:25:00	Yucca
PINEAU	07/16/81	15:00:00.10	<20	207	37.089	-116.020	1,259	T	535	7.8	1.6	29	1,530				0:15:00	Yucca
HAVARTI	08/05/81	13:41:00.09	<20	200	37.154	-116.036	1,283	T	553	14.4	1.57	20	1,143					Yucca
ISLAY	08/27/81	14:31:00.09	<20	294	37.160	-116.067	1,297	T	567	17	1.51	23	1,820	102	9		1:12:00	Yucca
TREBBIANO	09/04/81	15:00:00.10	<20	305	37.058	-116.049	1,211	T	498	13.4	1.61	22	1,850				1:49:48	Yucca
CEMADA	09/24/81	15:00:00.09	<20	213	37.008	-116.025	1,181	A	472	11	1.72	20	1,320	37	1		0:20:18	Yucca
PALIZA	10/01/81	19:00:00.10	20-150	472	37.082	-116.010	1,260	T	530	16.8	1.87	6	2,294	275	17		0:47:12	Yucca
TID	11/11/81	20:00:09.09	20-150	445	37.076	-116.069	1,232	A	494	16.1	1.83	10.1	2,140	220	21	264,400	1d2h13m	Yucca
ROUSANNE	11/12/81	15:00:00.10	20-150	517	37.108	-116.050	1,243	T	495	27.4	1.79	0	2,410	244	18		20:34:48	Yucca
